
1 threadCount:
C: 54.04%, D: 45.96% | Est. Population: 8192
C: 55.52%, D: 44.48% | Est. Population: 8192
C: 56.00%, D: 44.00% | Est. Population: 8192
C: 57.52%, D: 42.48% | Est. Population: 8192
C: 58.64%, D: 41.36% | Est. Population: 8192
C: 58.76%, D: 41.24% | Est. Population: 8192
C: 59.92%, D: 40.08% | Est. Population: 8192
C: 60.28%, D: 39.72% | Est. Population: 8192
C: 60.68%, D: 39.32% | Est. Population: 8192
C: 60.68%, D: 39.32% | Est. Population: 8192
C: 61.24%, D: 38.76% | Est. Population: 8192
C: 62.08%, D: 37.92% | Est. Population: 8192
C: 62.40%, D: 37.60% | Est. Population: 8192
C: 62.24%, D: 37.76% | Est. Population: 8192
C: 62.24%, D: 37.76% | Est. Population: 8192
C: 62.56%, D: 37.44% | Est. Population: 8192
C: 62.48%, D: 37.52% | Est. Population: 8192
C: 62.56%, D: 37.44% | Est. Population: 8192
C: 63.00%, D: 37.00% | Est. Population: 8192
C: 63.08%, D: 36.92% | Est. Population: 8192
C: 63.08%, D: 36.92% | Est. Population: 8192
C: 63.16%, D: 36.84% | Est. Population: 8192
C: 63.28%, D: 36.72% | Est. Population: 8192
C: 63.60%, D: 36.40% | Est. Population: 8192
C: 63.76%, D: 36.24% | Est. Population: 8192
C: 63.88%, D: 36.12% | Est. Population: 8192
C: 63.96%, D: 36.04% | Est. Population: 8192
C: 63.84%, D: 36.16% | Est. Population: 8192
C: 64.20%, D: 35.80% | Est. Population: 8192
C: 63.92%, D: 36.08% | Est. Population: 8192
C: 64.04%, D: 35.96% | Est. Population: 8192
C: 63.84%, D: 36.16% | Est. Population: 8192
C: 64.20%, D: 35.80% | Est. Population: 8192
C: 65.16%, D: 34.84% | Est. Population: 8192
C: 64.88%, D: 35.12% | Est. Population: 8192
C: 65.16%, D: 34.84% | Est. Population: 8192
C: 64.96%, D: 35.04% | Est. Population: 8192
C: 64.76%, D: 35.24% | Est. Population: 8192
C: 64.84%, D: 35.16% | Est. Population: 8192
C: 64.76%, D: 35.24% | Est. Population: 8192
C: 65.12%, D: 34.88% | Est. Population: 8192
C: 64.64%, D: 35.36% | Est. Population: 8192
C: 64.84%, D: 35.16% | Est. Population: 8192
C: 64.88%, D: 35.12% | Est. Population: 8192
C: 65.44%, D: 34.56% | Est. Population: 8192
C: 65.40%, D: 34.60% | Est. Population: 8192
C: 65.28%, D: 34.72% | Est. Population: 8192
C: 65.28%, D: 34.72% | Est. Population: 8192
C: 65.24%, D: 34.76% | Est. Population: 8192
C: 65.24%, D: 34.76% | Est. Population: 8192
C: 64.40%, D: 35.60% | Est. Population: 8192
C: 64.84%, D: 35.16% | Est. Population: 8192
C: 64.96%, D: 35.04% | Est. Population: 8192
C: 64.88%, D: 35.12% | Est. Population: 8192
C: 64.92%, D: 35.08% | Est. Population: 8192
C: 64.40%, D: 35.60% | Est. Population: 8192
C: 64.44%, D: 35.56% | Est. Population: 8192
