
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 128
C: 54.80%, D: 45.20% | Est. Population: 128
C: 55.88%, D: 44.12% | Est. Population: 128
C: 56.88%, D: 43.12% | Est. Population: 128
C: 58.32%, D: 41.68% | Est. Population: 128
C: 58.48%, D: 41.52% | Est. Population: 128
C: 58.64%, D: 41.36% | Est. Population: 128
C: 59.04%, D: 40.96% | Est. Population: 128
C: 59.36%, D: 40.64% | Est. Population: 128
C: 59.76%, D: 40.24% | Est. Population: 128
C: 60.44%, D: 39.56% | Est. Population: 128
C: 60.84%, D: 39.16% | Est. Population: 128
C: 60.92%, D: 39.08% | Est. Population: 128
C: 60.88%, D: 39.12% | Est. Population: 128
C: 61.00%, D: 39.00% | Est. Population: 128
C: 61.28%, D: 38.72% | Est. Population: 128
C: 61.48%, D: 38.52% | Est. Population: 128
C: 61.84%, D: 38.16% | Est. Population: 128
C: 61.80%, D: 38.20% | Est. Population: 128
C: 61.92%, D: 38.08% | Est. Population: 128
C: 62.20%, D: 37.80% | Est. Population: 128
C: 62.40%, D: 37.60% | Est. Population: 128
C: 62.84%, D: 37.16% | Est. Population: 128
C: 62.76%, D: 37.24% | Est. Population: 512
C: 63.20%, D: 36.80% | Est. Population: 512
C: 63.04%, D: 36.96% | Est. Population: 512
C: 63.08%, D: 36.92% | Est. Population: 512
C: 62.88%, D: 37.12% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.32%, D: 36.68% | Est. Population: 1024
C: 63.24%, D: 36.76% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 63.60%, D: 36.40% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 63.92%, D: 36.08% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 8192
C: 64.20%, D: 35.80% | Est. Population: 8192
C: 63.96%, D: 36.04% | Est. Population: 8192
C: 64.04%, D: 35.96% | Est. Population: 8192
C: 63.88%, D: 36.12% | Est. Population: 8192
C: 64.24%, D: 35.76% | Est. Population: 8192
C: 64.40%, D: 35.60% | Est. Population: 8192
C: 64.20%, D: 35.80% | Est. Population: 8192
C: 64.48%, D: 35.52% | Est. Population: 8192
C: 63.88%, D: 36.12% | Est. Population: 8192
C: 63.92%, D: 36.08% | Est. Population: 8192
C: 63.80%, D: 36.20% | Est. Population: 8192
C: 63.76%, D: 36.24% | Est. Population: 8192
C: 63.88%, D: 36.12% | Est. Population: 8192
C: 63.96%, D: 36.04% | Est. Population: 8192
C: 63.56%, D: 36.44% | Est. Population: 8192
C: 64.04%, D: 35.96% | Est. Population: 8192
C: 64.32%, D: 35.68% | Est. Population: 8192
C: 64.16%, D: 35.84% | Est. Population: 8192
C: 64.68%, D: 35.32% | Est. Population: 8192
C: 64.80%, D: 35.20% | Est. Population: 8192
C: 65.00%, D: 35.00% | Est. Population: 8192
C: 64.72%, D: 35.28% | Est. Population: 8192
C: 64.80%, D: 35.20% | Est. Population: 8192
C: 64.64%, D: 35.36% | Est. Population: 8192
C: 64.24%, D: 35.76% | Est. Population: 8192
C: 64.56%, D: 35.44% | Est. Population: 8192
C: 64.92%, D: 35.08% | Est. Population: 8192
C: 65.36%, D: 34.64% | Est. Population: 8192
C: 65.00%, D: 35.00% | Est. Population: 8192
C: 64.96%, D: 35.04% | Est. Population: 8192
C: 64.60%, D: 35.40% | Est. Population: 8192
C: 65.00%, D: 35.00% | Est. Population: 8192
C: 64.92%, D: 35.08% | Est. Population: 8192
